MSSV,NMDT,CTRR,HTS,KTLT,CTDLGT,KTMT,LTHDT,MHH,HCSDL,HDH,NMTTNT,DHMT,MMANM
75321,6.5,6.5,5.0,6.0,5.5,6.5,7.5,7.0,8.0,6.5,1,0,1
81657,7.5,7.0,5.5,7.0,7.0,7.5,7.5,6.0,7.5,7.5,1,0,0
209312,7.0,6.5,5.5,7.5,4.5,7.0,0.0,7.0,6.0,8.0,1,1,0
583833,6.5,7.0,6.0,5.5,6.5,7.0,8.0,7.0,6.0,7.0,1,1,1
1509861,7.5,5.0,5.0,9.0,3.5,6.5,6.0,7.0,7.5,6.5,0,0,0
2047807,6.5,6.5,7.5,9.5,8.5,6.5,8.5,7.5,8.5,8.5,1,1,0
2223555,9.0,8.0,9.5,10.0,9.0,8.0,8.0,10.0,8.0,8.5,0,0,0
2240989,8.5,7.0,7.0,7.0,6.0,8.0,7.0,6.5,7.5,8.0,0,0,0
2260878,7.5,8.5,8.5,10.0,8.5,8.0,8.0,8.5,0.0,9.0,0,0,0
2274996,5.5,7.0,7.0,7.5,7.5,6.0,8.0,7.0,7.5,7.5,1,1,1
2343848,8.0,7.0,6.0,7.5,5.0,7.0,6.5,6.5,0.0,5.5,0,0,0
2683782,7.5,8.0,6.5,9.0,8.5,7.5,7.0,8.5,8.0,7.0,0,1,0
3095962,7.0,6.5,6.0,6.5,7.5,6.0,7.5,5.5,7.5,6.5,1,1,0
3419145,7.5,6.5,5.0,6.0,1.0,5.0,7.0,6.0,6.0,7.0,0,0,0
3546806,8.5,7.5,7.0,7.0,6.5,7.0,7.5,7.0,7.0,7.0,0,0,0
4045426,8.5,8.5,6.0,8.0,7.5,8.5,9.0,8.5,7.5,8.5,0,1,0
4536867,8.0,8.0,9.0,7.5,9.0,9.5,9.5,9.5,9.0,9.5,0,1,1
4650139,8.5,8.0,8.5,10.0,9.5,8.5,8.5,8.5,8.5,9.0,0,0,0
5665575,5.5,5.5,5.0,6.0,6.5,6.0,6.5,6.5,7.0,8.0,1,1,0
5763862,7.0,6.0,8.0,6.0,7.5,7.0,6.5,8.5,7.5,8.5,0,0,1
5890865,7.5,7.5,5.0,6.0,3.5,6.0,7.0,6.0,6.0,6.5,0,0,0
6024723,7.5,7.5,7.5,8.0,8.5,7.5,8.0,8.0,7.0,8.0,1,1,1
6136739,8.5,7.0,7.0,8.5,5.0,5.5,8.5,6.5,7.5,8.0,1,0,1
6762507,8.0,9.0,8.5,9.5,7.0,8.0,8.0,8.5,8.5,8.0,1,0,0
7675525,8.5,7.5,9.0,8.0,8.5,8.5,9.0,9.5,9.0,8.5,0,0,1
7889895,9.0,7.5,7.0,8.5,8.0,9.0,7.5,9.5,8.5,8.5,0,0,0
8813147,0.0,4.0,2.5,0.0,0.0,0.0,4.5,3.0,0.0,0.0,0,0,0
8926512,9.0,8.0,8.5,8.0,8.0,8.0,8.0,8.0,7.5,8.0,0,0,0
9762853,7.0,7.0,5.0,6.5,6.0,6.0,6.5,6.5,5.0,6.0,0,1,1
9915496,6.5,6.5,5.0,6.0,6.5,5.5,8.0,7.0,5.0,7.0,1,0,0
10007616,8.0,9.0,8.0,7.0,7.0,6.5,7.5,8.0,8.0,6.0,0,0,0
10372040,6.5,6.0,4.5,2.5,4.5,6.0,6.5,6.0,6.0,5.0,1,1,0
10520631,5.0,7.5,4.5,5.0,4.5,3.5,4.5,6.0,4.5,6.5,1,1,0
11871294,7.5,8.0,7.5,8.5,7.5,8.0,8.0,9.0,5.5,8.0,0,0,0
11968298,8.5,8.5,7.5,8.0,8.5,8.5,7.0,8.0,8.0,7.5,0,1,0
12000507,8.5,7.5,7.5,6.5,6.5,7.5,7.0,7.5,7.5,8.0,0,0,0
12118103,6.5,6.0,6.5,7.5,8.0,7.5,8.5,7.0,8.5,9.0,1,1,0
12201042,7.5,7.0,7.5,7.5,8.0,8.0,9.0,9.0,7.5,6.5,0,0,1
12419098,7.0,7.0,5.0,6.5,5.5,7.5,7.5,7.0,6.5,7.5,1,0,1
12515604,7.0,7.0,6.0,5.5,6.5,5.0,7.0,6.0,6.0,6.5,1,1,1
12540524,6.5,7.5,7.5,7.0,8.0,7.5,9.5,10.0,8.5,8.5,1,1,0
12967654,7.5,7.0,6.5,8.0,6.5,7.5,8.5,8.5,8.0,7.0,0,1,0
13000115,7.0,5.5,6.5,9.0,5.5,6.5,8.0,6.0,6.0,7.5,1,0,1
13761301,8.5,8.5,7.5,6.5,7.0,8.0,7.0,9.5,9.0,8.5,0,0,0
13793340,7.0,7.5,7.0,7.5,5.0,5.0,6.5,6.5,5.5,7.0,1,0,0
14036996,9.0,8.0,8.0,8.0,8.5,8.5,7.5,8.5,8.0,8.0,0,0,0
14495747,7.0,6.0,3.5,5.0,3.5,3.5,6.0,7.0,4.5,5.0,1,1,0
14821641,8.0,7.0,7.0,2.0,7.5,7.0,6.0,7.5,8.0,8.0,1,1,0
15374073,6.5,6.0,6.5,9.0,8.0,5.5,6.5,8.0,7.5,7.0,1,1,0
15401017,8.5,8.0,6.0,8.0,8.0,8.0,7.5,7.5,8.5,7.5,1,1,1
15683015,8.5,7.5,9.0,7.5,8.5,8.0,9.0,9.5,9.0,9.0,0,0,1
15723495,7.5,8.0,7.5,6.5,7.5,7.0,8.5,8.0,7.0,8.0,1,0,1
15878863,7.5,8.5,7.0,8.0,8.5,6.5,8.0,7.5,7.5,7.5,1,0,0
15897575,6.5,6.5,6.0,8.0,5.5,5.0,7.0,7.0,7.0,6.5,1,0,1
15989365,7.0,7.5,5.0,6.0,7.0,8.0,7.0,7.5,7.0,5.5,1,0,1
16060788,7.0,6.5,7.0,7.0,8.5,8.0,7.5,6.5,5.5,6.5,1,0,1
16622239,7.5,6.5,5.5,9.0,5.5,7.5,7.5,7.5,6.0,7.0,0,0,0
16923065,8.5,8.0,7.5,8.5,7.0,7.0,9.0,7.5,7.5,8.0,1,0,1
17200932,7.0,7.5,7.0,7.5,9.0,8.5,7.5,8.0,8.5,9.0,1,1,0
17272564,7.5,9.5,7.5,7.0,8.0,8.5,9.5,9.0,9.0,7.5,0,1,0
